Restaurant,Chinese Reviews Rating,Chinese Reviews Count,All Reviews Rating,All Reviews Count,Link
China City,5,2,4,136,https://www.google.com/maps/place/?q=place_id:ChIJAR4NrHj0wokRbu1QUB7h9F0
King's Chef,5,2,4,199,https://www.google.com/maps/place/?q=place_id:ChIJi-DeP1L0wokR55JVOjqpHpg
Xinglung,5,2,4.1,115,https://www.google.com/maps/place/?q=place_id:ChIJGys0ndeMwokRi8zYPHu3eqw
New Choi Hee,5,2,3.3,113,https://www.google.com/maps/place/?q=place_id:ChIJA6SJ2spPwokRtTNNYnhFDaY
Panda Garden,5,2,4.2,119,https://www.google.com/maps/place/?q=place_id:ChIJrYoW6IhPwokRB2bIjRCaMMQ
Taste of China,5,2,3.8,105,https://www.google.com/maps/place/?q=place_id:ChIJt-4rvqtfwokRqHzQ5K5-qmM
Wah Hing Kitchen,5,2,4.2,214,https://www.google.com/maps/place/?q=place_id:ChIJbyfEGzxnwokRuW4wO6zM9T8
Six Happiness,5,2,4.4,214,https://www.google.com/maps/place/?q=place_id:ChIJlYxjXUWLwokR2mQy4Wu5m1s
New York Chan,5,2,4,127,https://www.google.com/maps/place/?q=place_id:ChIJ3aLRWaldwokRRl_Qdod6KN0
Fortune Glatt Kosher Chinese Take Out,5,2,4.1,286,https://www.google.com/maps/place/?q=place_id:ChIJo0fUYQdhwokRfZQyc0casKA
Ho Mei,5,2,4.2,222,https://www.google.com/maps/place/?q=place_id:ChIJfUggt8BfwokRD7KOaE29LJ8
King River,5,2,4.3,116,https://www.google.com/maps/place/?q=place_id:ChIJlyGSXqBfwokRrMz2pEAbAWY
Baji Baji,5,3,4.3,265,https://www.google.com/maps/place/?q=place_id:ChIJC6z-ENlZwokRQL-J6xczEBw
King Dragon 188,5,3,4,146,https://www.google.com/maps/place/?q=place_id:ChIJkclx-Rz2wokRcAYh9w05xo8
Golden Chopstick,5,3,4.1,142,https://www.google.com/maps/place/?q=place_id:ChIJT_DEenVbwokR_BEVCWamyYM
Dong Fang Kitchen,5,3,4.2,143,https://www.google.com/maps/place/?q=place_id:ChIJ4Sw8-2RcwokRnUhCfYhlRdM
China tastes美味,5,3,4.1,171,https://www.google.com/maps/place/?q=place_id:ChIJt8inX1FcwokRzSezNkQZwnQ
Ming Wong,5,3,4.4,216,https://www.google.com/maps/place/?q=place_id:ChIJaexjZXL0wokRCFekTGE__Mk
Good Taste Restaurant,5,3,4.1,161,https://www.google.com/maps/place/?q=place_id:ChIJ6dtmMVP0wokRk4tlm3FH71M
Lee's Chinese Kitchen,5,3,3.6,115,https://www.google.com/maps/place/?q=place_id:ChIJJf8nh0HzwokRfkKD1_nISNg
New Oriental House,5,3,3.8,182,https://www.google.com/maps/place/?q=place_id:ChIJIUEv6X30wokR34cJlMMcLfY
No. 1 China Wok,5,3,4,282,https://www.google.com/maps/place/?q=place_id:ChIJYzKEkoXzwokRmcAv3miKHds
Empire Szechuan,5,3,3.8,163,https://www.google.com/maps/place/?q=place_id:ChIJJ-rrZ2xNwokRY2tcta-93jM
Mr. Rice,5,3,3.9,116,https://www.google.com/maps/place/?q=place_id:ChIJSTRw7MVNwokRnI_zcEom3es
China Star,5,3,3.8,119,https://www.google.com/maps/place/?q=place_id:ChIJV54cnOZgwokRKnihqwSxWS4
Szechuan Kitchen III,5,3,4,103,https://www.google.com/maps/place/?q=place_id:ChIJ1wJ7dNxjwokRnLa3MPmUBZM
Li's Kitchen,5,3,4.2,176,https://www.google.com/maps/place/?q=place_id:ChIJIwotclvzwokRXRlPXMNMG10
Jimmy Best Chinese,5,3,4.4,376,https://www.google.com/maps/place/?q=place_id:ChIJsUBl7dCMwokRf1QSCKZecHY
Eastern Chinese Style,5,3,4.7,123,https://www.google.com/maps/place/?q=place_id:ChIJz8uSgzf0wokRLXcUdvnQXuY
China Kitchen,5,3,4.2,103,https://www.google.com/maps/place/?q=place_id:ChIJk1GSg2DzwokRgJ3HXvdcYx4
City Island Chinese Restaurant,5,3,4.1,117,https://www.google.com/maps/place/?q=place_id:ChIJpZB_B4aLwokRPv7vDm55Dqg
New Asian Cuisine,5,3,4.1,128,https://www.google.com/maps/place/?q=place_id:ChIJuV9gpdtewokRvt2MMZL9AiI
Francesca Chinese Restaurant,5,4,4.1,141,https://www.google.com/maps/place/?q=place_id:ChIJ_7YSI4dXwokR2buVo3DHA7g
New Sunrise,5,4,4.1,178,https://www.google.com/maps/place/?q=place_id:ChIJp7ELIfxNwokR5yJvSlEbxqw
Linden Garden Chinese Restaurant,5,4,4.1,202,https://www.google.com/maps/place/?q=place_id:ChIJ0xqqT6-zw4kRTYBdivjJ_E0
Lee's Restaurant,5,4,4.3,125,https://www.google.com/maps/place/?q=place_id:ChIJe9OgMof0wokRiH-GWsXczLE
Lucky House,5,4,4.3,159,https://www.google.com/maps/place/?q=place_id:ChIJf6qb7pL0wokRQPFtpqP9168
Golden Chef,5,4,4.1,137,https://www.google.com/maps/place/?q=place_id:ChIJi7FK8D6LwokRuGuu5w_kmGY
New Joy Garden,5,4,3.6,101,https://www.google.com/maps/place/?q=place_id:ChIJm5W7FtJdwokR7-qb0Effpsg
Hong Kong Kitchen,5,4,3.7,122,https://www.google.com/maps/place/?q=place_id:ChIJzxlW7mtNwokRdfndxaUCQq4
Empire Szechuan Garden,5,4,4.4,152,https://www.google.com/maps/place/?q=place_id:ChIJ4dsl1NhewokR6w8yMyKiwQI
Yummy Yummy Chinese Restaurant,5,4,3.7,133,https://www.google.com/maps/place/?q=place_id:ChIJa6tlJfBewokRS_Z4NR5MRc4
New Hop Shing Kitchen,5,5,4.5,147,https://www.google.com/maps/place/?q=place_id:ChIJQ3AeE1dcwokRNksDqJhGzhQ
New China,5,5,4.2,112,https://www.google.com/maps/place/?q=place_id:ChIJDycn1vdbwokReCL4WCFfKJA
Sunrise East Chinese Cuisine,5,5,4.5,126,https://www.google.com/maps/place/?q=place_id:ChIJ_ZJmaXdZwokRFeUpME0A4Sk
New Foo Shun,5,5,3.7,146,https://www.google.com/maps/place/?q=place_id:ChIJY4pHk7BdwokRkRaG4PL3rQY
El Pabellon De Oro,5,5,4.5,1022,https://www.google.com/maps/place/?q=place_id:ChIJp6HMifr0wokRB-50X94O4lI
Sun Wah,5,5,3.8,184,https://www.google.com/maps/place/?q=place_id:ChIJV1joCS5fwokRZGTcRbOpz-U
Panda Garden,5,5,4.2,101,https://www.google.com/maps/place/?q=place_id:ChIJtfKIux1fwokRmJrNN62T0vo
China Garden,5,6,4.4,133,https://www.google.com/maps/place/?q=place_id:ChIJJYGG9BxcwokR44dkDC0WHsc
New Nice China Town,5,6,4.2,245,https://www.google.com/maps/place/?q=place_id:ChIJsThayTRbwokRvUL3IKBQK1o
East Met West,5,6,3.9,170,https://www.google.com/maps/place/?q=place_id:ChIJC12qz1ZZwokRLgPnPk_Bsys
Empire King,5,6,4.3,123,https://www.google.com/maps/place/?q=place_id:ChIJH8V5hVr0wokR2pp7ssfco7I
New Win Hing,5,6,4.2,133,https://www.google.com/maps/place/?q=place_id:ChIJf7O8Rq9PwokR-R92QAMhSWc
Loon Chuan Chinese Restaurant,5,6,3.7,171,https://www.google.com/maps/place/?q=place_id:ChIJ_6FkRFu1w4kR34JKuwoWBjQ
Panda China Restaurant,5,6,4.2,179,https://www.google.com/maps/place/?q=place_id:ChIJF6Ppt5Wzw4kRpUgTYLwXyQM
Di Di,5,6,4.5,190,https://www.google.com/maps/place/?q=place_id:ChIJrTj4iK1EwokRZhwtPsgC0QQ
Lucky Star,5,6,4.1,167,https://www.google.com/maps/place/?q=place_id:ChIJG99VBeJjwokRjYi3fYcx1FQ
Aanch Indian & Asian Fusion,5,6,4.7,425,https://www.google.com/maps/place/?q=place_id:ChIJEw5lDLljwokRfu5D0-znLdA
Wa Lung Kitchen,5,7,3.8,261,https://www.google.com/maps/place/?q=place_id:ChIJQffRCtVbwokR9G83MrtY4KA
Yummy Chinese Food,5,7,4.3,203,https://www.google.com/maps/place/?q=place_id:ChIJY4DaAXFbwokRmTMfblxHDds
Wild Ginger,5,7,4.2,367,https://www.google.com/maps/place/?q=place_id:ChIJrX3vX1xZwokRFi9iLpuYCc4
Excellent Taste Restaurant,5,7,3.5,162,https://www.google.com/maps/place/?q=place_id:ChIJ8fkSy9nywokR8PrjXW3Tet4
Ling Gee,5,8,4,115,https://www.google.com/maps/place/?q=place_id:ChIJ_Qhea4pawokRJVK0_2-OcWQ
New King House,5,8,4.3,135,https://www.google.com/maps/place/?q=place_id:ChIJsfw4YcNfwokRv6Vq9xqTPlA
Asian Bay,5,8,4,206,https://www.google.com/maps/place/?q=place_id:ChIJ4xUVVGREwokRHFf7Vkd8ADg
China King,5,8,3.9,169,https://www.google.com/maps/place/?q=place_id:ChIJR5IDYxlhwokRu68fYwRqky0
Mr Wonton,5,8,3.7,114,https://www.google.com/maps/place/?q=place_id:ChIJr7nMH9lewokRbpML3hjfOSE
Wei’s - Fort Greene,5,10,4.5,123,https://www.google.com/maps/place/?q=place_id:ChIJ-xGvV_xbwokRgHfFrsrjNPc
Peking,5,10,4.2,208,https://www.google.com/maps/place/?q=place_id:ChIJLfvsmy5iwokRyuOG-FMpMdM
Peking Taste,5,10,4,144,https://www.google.com/maps/place/?q=place_id:ChIJ_2V8LxlLwokR1WeqpjgF5-U
Happy Fortune,5,11,3.6,142,https://www.google.com/maps/place/?q=place_id:ChIJ_W78VIJOwokRNH-rSv0gcEM
Islander Taste Chinese Restaurant,5,16,4.1,133,https://www.google.com/maps/place/?q=place_id:ChIJ-5JB69BKwokRpZuLSvmT_7Q
Pic Up Stix,5,23,4.2,192,https://www.google.com/maps/place/?q=place_id:ChIJtUJhgqRYwokRFnRm-1w4Z4w
Sol Delish,5,31,4.9,266,https://www.google.com/maps/place/?q=place_id:ChIJJ5PP13NbwokR1O046Gc3trA
Liu Ji Sichuan Noodle House,4.964285714,28,4.9,116,https://www.google.com/maps/place/?q=place_id:ChIJQ3_acoH1wokRi4c9pAJO8pg
Mala Town,4.962765957,564,4.9,1121,https://www.google.com/maps/place/?q=place_id:ChIJs5U-VQf3wokRs1nlqkUqxgo
Twilight Lounge 朝暮,4.954545455,22,4.9,122,https://www.google.com/maps/place/?q=place_id:ChIJVZrUE55ZwokRE1ou0h6DhRQ
Mama's Noodle House,4.95,20,4.8,108,https://www.google.com/maps/place/?q=place_id:ChIJ077xDwBFwokR6Lm73BYnSG8
Kungfu Hot Pot,4.94921875,256,4.9,572,https://www.google.com/maps/place/?q=place_id:ChIJ3ZhiHm2LwokRWKyuhMdcwuA
Chang Lai,4.933110368,299,4.9,1153,https://www.google.com/maps/place/?q=place_id:ChIJOy-j4IdZwokRNqJruSGwcwI
Dynasty Taste,4.928571429,14,4,156,https://www.google.com/maps/place/?q=place_id:ChIJ6eSTAnxMwokR4rrZFlwr210
The Best Sichuan 一品成都21,4.918395574,723,4.9,2844,https://www.google.com/maps/place/?q=place_id:ChIJX68xNnhZwokRbktHVFdiUKo
Great Wall,4.916666667,12,4.1,170,https://www.google.com/maps/place/?q=place_id:ChIJBWJBLplgwokRH5EO12m6DQs
Chun Vegetarian,4.909090909,11,4.6,135,https://www.google.com/maps/place/?q=place_id:ChIJQ6QrOjBbwokRBfiPeEtUcjw
DONGBEI Restaurant & Bar东北餐厅&酒吧,4.905236908,401,4.9,761,https://www.google.com/maps/place/?q=place_id:ChIJ04zZeXFZwokRunHmQy_LRno
Nuevo Jardín de China,4.904761905,21,4.5,529,https://www.google.com/maps/place/?q=place_id:ChIJQVZgVTdfwokRoRpskYySlGw
Niukee Shumai,4.902439024,164,4.9,386,https://www.google.com/maps/place/?q=place_id:ChIJucKm6spZwokRQ31QSpsACbM
ChiChicken 吃鸡,4.901719902,407,4.9,649,https://www.google.com/maps/place/?q=place_id:ChIJoSrPE3dZwokReX5_-Up2Ek0
Taste of China,4.9,20,4.5,156,https://www.google.com/maps/place/?q=place_id:ChIJJTW1t-xLwokR1S7ZGru3C1g
Aves Thai & Asian Fusion restaurant,4.897435897,39,4.6,185,https://www.google.com/maps/place/?q=place_id:ChIJXY3uKgBZwokRsm8XWNg-GhU
DAO Dim Sum & Chinese Cuisine,4.896373057,193,4.8,1634,https://www.google.com/maps/place/?q=place_id:ChIJ5y21FQBZwokR1Jd7r6tL4Wk
Kai-Ying,4.894736842,19,4.4,170,https://www.google.com/maps/place/?q=place_id:ChIJbxbgTFL1wokR0X9IdD8Ty6g
Zhe Zhe Pot 啫食坊,4.892405063,158,4.8,382,https://www.google.com/maps/place/?q=place_id:ChIJv20sYwBFwokRRlsIgR8nfmM
Loong Noodles,4.891891892,37,4.6,116,https://www.google.com/maps/place/?q=place_id:ChIJES0nCgBZwokRVJ1R__z_cX0
Chen's Garden,4.888888889,9,4.5,137,https://www.google.com/maps/place/?q=place_id:ChIJEWvzTLxfwokRbvOLHqsF3bw
JiBeiChuan Noodles(Flushing)季北川花胶汤米粉 (法拉盛店),4.883852691,353,4.7,781,https://www.google.com/maps/place/?q=place_id:ChIJA4PaHX9hwokRJiJK0tEIfJs
Grand Street Skewer Cart,4.876923077,65,4.9,282,https://www.google.com/maps/place/?q=place_id:ChIJ2Yua64dZwokRcRfpZvPnxg8
Taste of China,4.875,8,4.4,308,https://www.google.com/maps/place/?q=place_id:ChIJuV8vBT1fwokRuQnKRfujxwQ
Jardin De China,4.875,8,4.5,1347,https://www.google.com/maps/place/?q=place_id:ChIJ43rlGLlfwokRkwb5mrdsl00
Great Wall Chinese Restaurant,4.875,8,3.9,230,https://www.google.com/maps/place/?q=place_id:ChIJ9fb037FSwokRjLYk433aJZU
King Wah,4.875,8,4,445,https://www.google.com/maps/place/?q=place_id:ChIJYdm-tRlfwokRpCfGITFmHwQ
Tin Wong Restaurant,4.875,24,4.5,142,https://www.google.com/maps/place/?q=place_id:ChIJm6POfm1ZwokRh5OBjmmP31Q
Ji Bei Chuan Noodles 季北川 BK 86,4.875,136,4.7,340,https://www.google.com/maps/place/?q=place_id:ChIJZWHpAQBFwokRsiCxH_eTMOA
Bao Bao Cafe,4.867961165,515,4.8,2508,https://www.google.com/maps/place/?q=place_id:ChIJw2vNKYVZwokREF1LsEyAN0M
Baohub,4.863636364,22,4.6,238,https://www.google.com/maps/place/?q=place_id:ChIJhZ6v21RZwokR5AoxSOxt46Y
Dumpling Xi 喜家德水饺,4.861702128,94,4.8,238,https://www.google.com/maps/place/?q=place_id:ChIJtYuPfQBbwokR8Nk8-JNSWGs
Tak King,4.857142857,7,3.9,191,https://www.google.com/maps/place/?q=place_id:ChIJ-Y0CXIVbwokR2qngGohcC6E
Indika House,4.857142857,7,4.6,383,https://www.google.com/maps/place/?q=place_id:ChIJG7tkjTNdwokRdYbeHbBwJFc
Chinese Musician,4.857142857,7,3.8,242,https://www.google.com/maps/place/?q=place_id:ChIJa8oQs0BZwokREzE3DfdPTvs
Hong Kong Cafe,4.857142857,14,4.6,210,https://www.google.com/maps/place/?q=place_id:ChIJCwFdf5ZbwokRY3enMWlwjyA
Yi Poh Kitchen Asian Cuisine,4.857142857,224,4.8,540,https://www.google.com/maps/place/?q=place_id:ChIJffPabWZFwokRzPu5ZwlJ1u8
The Best Sichuan,4.853846154,1040,4.8,2831,https://www.google.com/maps/place/?q=place_id:ChIJ8a20X6dZwokRfjZjyuIqWTA
幸烩 Yao’s Kitchen,4.85,20,4.6,118,https://www.google.com/maps/place/?q=place_id:ChIJ9ZRPD9pPwokRcfWDzoxcfZ8
LHASA LIANG FEN,4.846153846,26,4.5,403,https://www.google.com/maps/place/?q=place_id:ChIJ-UXFfqtfwokRtBVHHzZc1PA
Lion Dance,4.846153846,26,4.9,196,https://www.google.com/maps/place/?q=place_id:ChIJFXjOXCRPwokRpqPpACWcr1E
New Ipoh Kitchen Asian Cuisine,4.845,400,4.8,1038,https://www.google.com/maps/place/?q=place_id:ChIJVVWGhh9FwokRzrH8_6uA1Y0
鱼你在一起 （法拉盛） Fish With You | Sauerkraut Fish 酸菜鱼,4.844186047,860,4.8,1667,https://www.google.com/maps/place/?q=place_id:ChIJORKNKiU76IkRmp4F-p5wyFY
Super Taste,4.84375,32,4.7,228,https://www.google.com/maps/place/?q=place_id:ChIJHfzYFAxZwokRlDntl0_Yab8
Dim Sum Sam,4.841911765,544,4.7,1919,https://www.google.com/maps/place/?q=place_id:ChIJU6xu8H5ZwokRZGryaPME3TA
Tsing Garden Chinese Restaurant,4.833333333,6,4.1,114,https://www.google.com/maps/place/?q=place_id:ChIJmZ8pONJZwokRtOxSSuEZfLI
China Restaurant,4.833333333,6,4.2,682,https://www.google.com/maps/place/?q=place_id:ChIJGcS8zJhcwokR68F3gBbbE2A
East Star,4.833333333,6,3.9,144,https://www.google.com/maps/place/?q=place_id:ChIJRRC2hVT0wokR98ZiTqyGTJ0
CHINA WOK CARTERET,4.833333333,6,4.4,118,https://www.google.com/maps/place/?q=place_id:ChIJS_V6LGK1w4kR9lSSWFM898U
No 1 Chinese Kitchen,4.833333333,6,3.9,109,https://www.google.com/maps/place/?q=place_id:ChIJtezdauROwokR-XyJNNk5B1g
Master Wonton,4.833333333,6,3.9,154,https://www.google.com/maps/place/?q=place_id:ChIJl0L8dOdEwokRGm7X3HMtdIs
Dragon Garden,4.833333333,12,4.5,173,https://www.google.com/maps/place/?q=place_id:ChIJm4t36xFFwokRoxB9rUjretc
King’s Wok Chinese Food,4.833333333,12,4.2,128,https://www.google.com/maps/place/?q=place_id:ChIJO8u_EhRfwokR_ZBkkTUEBIU
Old Sport Food,4.833333333,78,4.7,371,https://www.google.com/maps/place/?q=place_id:ChIJ8zYw_-VfwokRfMz25U3CbGM
OK Canaan Taiwanese Gourmet 台灣好滋味,4.828282828,99,4.6,239,https://www.google.com/maps/place/?q=place_id:ChIJX_-ydU5hwokRDHgVEshJ2kw
Antidote,4.82460733,382,4.8,2055,https://www.google.com/maps/place/?q=place_id:ChIJN7sVKcJZwokRZp59H74tSFg
O Ramen & Dim Sum M Yuki Sushi,4.823529412,17,4.7,252,https://www.google.com/maps/place/?q=place_id:ChIJcyP529hZwokR30axJSxdIZ8
Xie Bao Flushing 蟹寶,4.822102426,371,4.7,681,https://www.google.com/maps/place/?q=place_id:ChIJw9v2VQBhwokRFqwgp_ITfG8
Sky Pavilion 川雲涧,4.812182741,197,4.7,437,https://www.google.com/maps/place/?q=place_id:ChIJAXoJdQBZwokRmc14ZZhY1l8
DD Soup Dumpling & FuJi Hibachi,4.810457516,306,4.7,2822,https://www.google.com/maps/place/?q=place_id:ChIJnS6wtl9ZwokR2qWRGAD989Y
LUNAR,4.80945758,719,4.7,1218,https://www.google.com/maps/place/?q=place_id:ChIJAa9VD55ZwokRmOsOuh5AfUs
禧悦會海鲜自助火锅 XI YUE HUI HOT POT,4.804347826,828,4.8,1570,https://www.google.com/maps/place/?q=place_id:ChIJP0sZQQNFwokRVdWsljBVYC4
Breeze,4.802325581,86,4.8,458,https://www.google.com/maps/place/?q=place_id:ChIJayMXxXBZwokRq41Uj462dS0
Wing Cheong,4.8,5,4.6,349,https://www.google.com/maps/place/?q=place_id:ChIJ7WyyfIVbwokR4jvvnC7LPkw
Yummy,4.8,5,3.9,142,https://www.google.com/maps/place/?q=place_id:ChIJhbZ-7UhbwokR-HMemUZoK4A
Peking Express,4.8,5,4.2,324,https://www.google.com/maps/place/?q=place_id:ChIJO2OwdiNnwokRbbHQmHsE6Mk
Chen's Garden,4.8,5,4,102,https://www.google.com/maps/place/?q=place_id:ChIJsU2T02lLwokRdcds8rhHrkA
Double,4.8,5,4.4,252,https://www.google.com/maps/place/?q=place_id:ChIJRSf_Ds5fwokRZqTrUKpGcDI
Happy World,4.8,5,3.9,162,https://www.google.com/maps/place/?q=place_id:ChIJD-wT3p_2wokRNwO2a5MBKvI
Jumbo Chinese Kitchen,4.8,5,4.3,141,https://www.google.com/maps/place/?q=place_id:ChIJo0w5cKxgwokR1f-N31Lhz10
Great Wall,4.8,10,3.9,114,https://www.google.com/maps/place/?q=place_id:ChIJWxD60H6KwokRPFAumpeyT-U
Double Delight,4.8,10,3.9,127,https://www.google.com/maps/place/?q=place_id:ChIJW70dXxFFwokRAJikQ3gn2KA
La Caridad 72,4.8,20,4.7,436,https://www.google.com/maps/place/?q=place_id:ChIJo_O_AchZwokRW5SZhYoWjJ4
Yeh’s Bao,4.8,55,4.6,210,https://www.google.com/maps/place/?q=place_id:ChIJPwLeYgBbwokRu5nXLxOj3XY
Blue Peak Villa 山水庄,4.8,55,4.6,129,https://www.google.com/maps/place/?q=place_id:ChIJMY4T41xZwokRVt6hgnezadg
YGF Malatang,4.799457995,369,4.8,957,https://www.google.com/maps/place/?q=place_id:ChIJDVHGG4tZwokRIByvqBESCuE
King’s Kitchen,4.797720798,702,4.8,1252,https://www.google.com/maps/place/?q=place_id:ChIJZSGzOABFwokRphkqLErjYwg
Xi'an Famous Foods 西安名吃 | Woodside,4.791666667,24,4.6,185,https://www.google.com/maps/place/?q=place_id:ChIJp1-F1xtfwokRlXVAPeZ1BmM
"Nan Xiang Express - Williamsburg, NY",4.782312925,147,4.8,833,https://www.google.com/maps/place/?q=place_id:ChIJs-DAOahZwokR22b9nTj-IWE
DONGBEI 东北(Upper West Side),4.780487805,82,4.8,132,https://www.google.com/maps/place/?q=place_id:ChIJJffeu2r3wokRk24EZtx8-pk
Hwa ShooShoo Xinjiang Fried Rice Noodles,4.779661017,59,4.7,102,https://www.google.com/maps/place/?q=place_id:ChIJ9ybudplhwokRkSz06oLLlBE
China Wok,4.777777778,9,3.9,125,https://www.google.com/maps/place/?q=place_id:ChIJXU01qcdawokRG7Tlr3cxJTY
Chef Hong Kitchen,4.777777778,9,4.1,249,https://www.google.com/maps/place/?q=place_id:ChIJIfy3zzJOwokR40r7r8pJH_4
No. 1,4.777777778,9,3.5,215,https://www.google.com/maps/place/?q=place_id:ChIJ72XiIt1NwokRoPHMSvbXmYU
Cho-Sen Garden,4.777777778,9,4.2,441,https://www.google.com/maps/place/?q=place_id:ChIJRUlbESxewokRBf3oVUbacXg
TIPSY SHANGHAI 蘇杭餐厅,4.775510204,196,4.8,917,https://www.google.com/maps/place/?q=place_id:ChIJOUMIx-9ZwokRNkHZdwJGR5I
B2J Tasty Pot Bayside 不二家酸菜鱼 兰州拉面Bayside,4.774744027,293,4.8,551,https://www.google.com/maps/place/?q=place_id:ChIJaZd227RhwokRDH9lll87sZg
Fan Szechuan Restaurant & Bar,4.770588235,170,4.8,1105,https://www.google.com/maps/place/?q=place_id:ChIJ6V8yUgBZwokRpXl4eRoJmug
Yum Cha Chinese Kitchen & Bar 姑苏里,4.768987342,316,4.7,934,https://www.google.com/maps/place/?q=place_id:ChIJp3m9hEdZwokReSCOD-X9YNs
Hot Peppers LIC,4.766666667,30,4.6,251,https://www.google.com/maps/place/?q=place_id:ChIJBWAs9CJZwokRCpTEDldPYtI
Chef Huang,4.765517241,145,4.7,347,https://www.google.com/maps/place/?q=place_id:ChIJiS04VWNZwokRCtm_6zu-b-w
Jiang Nan NYC,4.764285714,560,4.8,1638,https://www.google.com/maps/place/?q=place_id:ChIJg0ZHaSRZwokRHymWtw9gKJk
MEILI 沉香,4.763888889,72,4.7,281,https://www.google.com/maps/place/?q=place_id:ChIJL4Pjpa9ZwokR0iQiU1POKFw
Yumpling,4.763265306,245,4.7,1044,https://www.google.com/maps/place/?q=place_id:ChIJKaodeNhZwokRsu8YloqftpY
江湖 烤 涮 酒坊,4.758865248,141,4.7,220,https://www.google.com/maps/place/?q=place_id:ChIJRyasD1lhwokRsPjXI1kFs4A
Din's Kitchen,4.753968254,126,4.7,283,https://www.google.com/maps/place/?q=place_id:ChIJ-Re2SS1bwokRIxlWv4yIqQM
No 1,4.75,4,4,133,https://www.google.com/maps/place/?q=place_id:ChIJU-A2TA9FwokRyv1uwGma4yw
